HOUR,Date/time,Load [MW]
1,2016-01-01 1:00,"1,157"
2,2016-01-01 2:00,"1,119"
3,2016-01-01 3:00,"1,072"
4,2016-01-01 4:00,"1,032"
5,2016-01-01 5:00,"1,026"
6,2016-01-01 6:00,"1,042"
7,2016-01-01 7:00,"1,090"
8,2016-01-01 8:00,"1,121"
9,2016-01-01 9:00,"1,174"
10,2016-01-01 10:00,"1,246"
11,2016-01-01 11:00,"1,314"
12,2016-01-01 12:00,"1,363"
13,2016-01-01 13:00,"1,366"
14,2016-01-01 14:00,"1,363"
15,2016-01-01 15:00,"1,344"
16,2016-01-01 16:00,"1,350"
17,2016-01-01 17:00,"1,414"
18,2016-01-01 18:00,"1,485"
19,2016-01-01 19:00,"1,427"
20,2016-01-01 20:00,"1,403"
21,2016-01-01 21:00,"1,373"
22,2016-01-01 22:00,"1,328"
23,2016-01-01 23:00,"1,268"
24,2016-01-01 0:00,"1,197"
25,2016-01-02 1:00,"1,146"
26,2016-01-02 2:00,"1,120"
27,2016-01-02 3:00,"1,103"
28,2016-01-02 4:00,"1,099"
29,2016-01-02 5:00,"1,106"
30,2016-01-02 6:00,"1,117"
31,2016-01-02 7:00,"1,154"
32,2016-01-02 8:00,"1,230"
33,2016-01-02 9:00,"1,327"
34,2016-01-02 10:00,"1,371"
35,2016-01-02 11:00,"1,369"
36,2016-01-02 12:00,"1,355"
37,2016-01-02 13:00,"1,319"
38,2016-01-02 14:00,"1,284"
39,2016-01-02 15:00,"1,261"
40,2016-01-02 16:00,"1,231"
41,2016-01-02 17:00,"1,379"
42,2016-01-02 18:00,"1,518"
43,2016-01-02 19:00,"1,483"
44,2016-01-02 20:00,"1,458"
45,2016-01-02 21:00,"1,428"
46,2016-01-02 22:00,"1,377"
47,2016-01-02 23:00,"1,300"
48,2016-01-02 0:00,"1,221"
49,2016-01-03 1:00,"1,145"
50,2016-01-03 2:00,"1,105"
51,2016-01-03 3:00,"1,082"
52,2016-01-03 4:00,"1,066"
53,2016-01-03 5:00,"1,072"
54,2016-01-03 6:00,"1,092"
55,2016-01-03 7:00,"1,125"
56,2016-01-03 8:00,"1,186"
57,2016-01-03 9:00,"1,264"
58,2016-01-03 10:00,"1,344"
59,2016-01-03 11:00,"1,390"
60,2016-01-03 12:00,"1,424"
61,2016-01-03 13:00,"1,424"
62,2016-01-03 14:00,"1,412"
63,2016-01-03 15:00,"1,393"
64,2016-01-03 16:00,"1,401"
65,2016-01-03 17:00,"1,477"
66,2016-01-03 18:00,"1,545"
67,2016-01-03 19:00,"1,501"
68,2016-01-03 20:00,"1,478"
69,2016-01-03 21:00,"1,429"
70,2016-01-03 22:00,"1,352"
71,2016-01-03 23:00,"1,278"
72,2016-01-03 0:00,"1,239"
73,2016-01-04 1:00,"1,172"
74,2016-01-04 2:00,"1,138"
75,2016-01-04 3:00,"1,126"
76,2016-01-04 4:00,"1,134"
77,2016-01-04 5:00,"1,170"
78,2016-01-04 6:00,"1,240"
79,2016-01-04 7:00,"1,392"
80,2016-01-04 8:00,"1,514"
81,2016-01-04 9:00,"1,505"
82,2016-01-04 10:00,"1,485"
83,2016-01-04 11:00,"1,470"
84,2016-01-04 12:00,"1,482"
85,2016-01-04 13:00,"1,493"
86,2016-01-04 14:00,"1,487"
87,2016-01-04 15:00,"1,492"
88,2016-01-04 16:00,"1,521"
89,2016-01-04 17:00,"1,614"
90,2016-01-04 18:00,"1,723"
91,2016-01-04 19:00,"1,696"
92,2016-01-04 20:00,"1,674"
93,2016-01-04 21:00,"1,678"
94,2016-01-04 22:00,"1,611"
95,2016-01-04 23:00,"1,576"
96,2016-01-04 0:00,"1,558"
97,2016-01-05 1:00,"1,497"
98,2016-01-05 2:00,"1,443"
99,2016-01-05 3:00,"1,491"
100,2016-01-05 4:00,"1,501"
101,2016-01-05 5:00,"1,464"
102,2016-01-05 6:00,"1,523"
103,2016-01-05 7:00,"1,666"
104,2016-01-05 8:00,"1,734"
105,2016-01-05 9:00,"1,734"
106,2016-01-05 10:00,"1,715"
107,2016-01-05 11:00,"1,670"
108,2016-01-05 12:00,"1,650"
109,2016-01-05 13:00,"1,647"
110,2016-01-05 14:00,"1,609"
111,2016-01-05 15:00,"1,567"
112,2016-01-05 16:00,"1,581"
113,2016-01-05 17:00,"1,698"
114,2016-01-05 18:00,"1,821"
115,2016-01-05 19:00,"1,780"
116,2016-01-05 20:00,"1,763"
117,2016-01-05 21:00,"1,726"
118,2016-01-05 22:00,"1,664"
119,2016-01-05 23:00,"1,565"
120,2016-01-05 0:00,"1,521"
121,2016-01-06 1:00,"1,516"
122,2016-01-06 2:00,"1,536"
123,2016-01-06 3:00,"1,569"
124,2016-01-06 4:00,"1,561"
125,2016-01-06 5:00,"1,553"
126,2016-01-06 6:00,"1,598"
127,2016-01-06 7:00,"1,670"
128,2016-01-06 8:00,"1,782"
129,2016-01-06 9:00,"1,759"
130,2016-01-06 10:00,"1,694"
131,2016-01-06 11:00,"1,643"
132,2016-01-06 12:00,"1,600"
133,2016-01-06 13:00,"1,573"
134,2016-01-06 14:00,"1,515"
135,2016-01-06 15:00,"1,482"
136,2016-01-06 16:00,"1,521"
137,2016-01-06 17:00,"1,621"
138,2016-01-06 18:00,"1,760"
139,2016-01-06 19:00,"1,750"
140,2016-01-06 20:00,"1,738"
141,2016-01-06 21:00,"1,699"
142,2016-01-06 22:00,"1,692"
143,2016-01-06 23:00,"1,608"
144,2016-01-06 0:00,"1,567"
145,2016-01-07 1:00,"1,486"
146,2016-01-07 2:00,"1,440"
147,2016-01-07 3:00,"1,411"
148,2016-01-07 4:00,"1,406"
149,2016-01-07 5:00,"1,417"
150,2016-01-07 6:00,"1,473"
151,2016-01-07 7:00,"1,629"
152,2016-01-07 8:00,"1,686"
