"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-01-01 00:00","2016","01","01","00:00","1.6","","-0.2","","88","","","","26","","6","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-01-01 01:00","2016","01","01","01:00","1.5","","-0.3","","88","","","","26","","6","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-01-01 02:00","2016","01","01","02:00","1.4","","-0.8","","85","","","","25","","9","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-01-01 03:00","2016","01","01","03:00","1.4","","-0.7","","86","","","","25","","5","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-01-01 04:00","2016","01","01","04:00","1.0","","-0.4","","91","","","","24","","12","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-01-01 05:00","2016","01","01","05:00","1.3","","0.0","","91","","","","24","","11","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-01-01 06:00","2016","01","01","06:00","1.5","","0.1","","91","","","","26","","6","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-01-01 07:00","2016","01","01","07:00","1.4","","0.0","","90","","","","26","","6","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-01-01 08:00","2016","01","01","08:00","0.2","","-0.8","","93","","","","28","","5","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-01-01 09:00","2016","01","01","09:00","0.6","","-1.0","","90","","","","32","","10","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-01-01 10:00","2016","01","01","10:00","0.7","","-1.3","","86","","","","27","","3","","","","","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2016-01-01 11:00","2016","01","01","11:00","0.8","","-1.0","","88","","","","24","","7","","","","","","","","","","NA"
